206,-1
230,-1
216,-1
55,-1
211,-1
235,-1
40,-1
10,-1
291,-1
202,-1
225,-1
38,-1
36,-1
208,-1
205,-1
140,508
57,-1
245,-1
276,-1
215,-1
262,-1
325,510
222,-1
391,514
210,-1
261,-1
209,-1
136,514
240,-1
238,-1
300,-1
44,-1
239,-1
1,-1
250,-1
50,-1
315,516
52,-1
306,537
12,-1
54,-1
282,-1
214,-1
308,529
335,538
330,543
316,543
152,509
258,-1
110,541
268,-1
138,539
279,-1
302,543
361,528
265,-1
157,539
376,538
339,525
25,-1
289,-1
277,-1
35,-1
283,-1
310,539
253,-1
263,-1
266,-1
345,550
389,508
231,-1
379,518
264,-1
322,550
295,-1
30,-1
155,572
46,-1
45,-1
154,538
311,575
60,-1
350,547
309,556
150,548
400,554
31,-1
364,514
58,-1
125,529
362,569
49,-1
305,577
280,-1
51,-1
37,-1
112,556
340,568
298,-1
213,-1
101,566
5,-1
18,-1
137,507
146,526
395,530
314,563
358,558
144,576
382,567
338,580
368,560
6,-1
207,-1
331,543
288,-1
135,553
236,-1
270,-1
254,-1
130,544
227,-1
257,-1
285,-1
149,532
290,-1
19,-1
366,559
353,562
256,-1
294,-1
383,567
380,538
377,571
365,578
158,546
292,-1
357,514
271,-1
39,-1
273,-1
234,-1
363,575
145,564
327,522
356,515
212,-1
220,-1
151,553
385,525
370,531
160,569
32,-1
105,551
284,-1
267,-1
249,-1
241,-1
312,511
390,533
16,-1
354,541
398,563
4,-1
394,533
139,525
131,579
334,525
371,529
286,-1
367,514
336,553
118,569
313,573
269,-1
293,-1
203,-1
132,524
106,565
388,563
260,-1
116,520
34,-1
224,-1
307,570
272,-1
42,-1
14,-1
242,-1
341,531
204,-1
119,564
244,-1
393,517
281,-1
373,554
251,-1
320,549
296,-1
248,-1
252,-1
223,-1
392,565
23,-1
221,-1
274,-1
104,542
134,524
369,533
226,-1
246,-1
351,514
374,506
384,558
323,512
229,-1
123,512
232,-1
259,-1
219,-1
342,531
278,-1
22,-1
360,542
17,-1
142,538
359,507
21,-1
59,-1
348,529
41,-1
349,574
352,531
344,540
247,-1
378,513
319,516
228,-1
201,-1
303,562
243,-1
233,-1
48,-1
29,-1
386,574
326,535
43,-1
329,531
7,-1
304,558
121,522
114,563
299,-1
143,506
33,-1
217,-1
324,572
328,519
275,-1
3,-1
372,574
343,520
317,506
11,-1
20,-1
27,-1
381,571
122,544
347,533
8,-1
346,559
56,-1
297,-1
255,-1
120,509
396,576
133,521
2,-1
15,-1
321,574
332,562
111,517
218,-1
148,540
397,511
102,507
141,555
127,521
108,518
13,-1
26,-1
159,562
9,-1
318,510
399,541
53,-1
103,536
333,555
301,559
28,-1
129,556
355,527
24,-1
117,578
47,-1
237,-1
107,557
287,-1
128,508
115,530
109,517
375,552
113,522
153,517
387,506
147,510
126,525
337,511
124,515
156,547
